|Food|Grams|Calories|Protein|Fat|Sat.Fat|Fiber|Carbs|Category
222|Rye|23.0|55.0|2.0|1.0|1.0|0.1|12.0|Breads, cereals, fastfood,grains
223|White, 20 slices, or|454.0|1.225|39.0|15.0|12.0|9.0|229.0|Breads, cereals, fastfood,grains
224|Whole-wheat|454.0|1.1|48.0|14.0|10.0|67.5|216.0|Breads, cereals, fastfood,grains
225|Whole-wheat|23.0|55.0|2.0|1.0|0.0|0.31|11.0|Breads, cereals, fastfood,grains
226|Corn bread ground meal|50.0|100.0|3.0|4.0|2.0|0.3|15.0|Breads, cereals, fastfood,grains
227|Cornflakes|25.0|110.0|2.0|0.0|0.0|0.1|25.0|Breads, cereals, fastfood,grains
228|Corn grits cooked|242.0|120.0|8.0|0.0|0.0|0.2|27.0|Breads, cereals, fastfood,grains
229|Corn meal|118.0|360.0|9.0|4.0|2.0|1.6|74.0|Breads, cereals, fastfood,grains
230|Crackers|14.0|55.0|1.0|1.0|0.0|0.0|10.0|Breads, cereals, fastfood,grains
231|Soda, 2 1/2 square|11.0|45.0|1.0|1.0|0.0|0.0|8.0|Breads, cereals, fastfood,grains
232|Farina|238.0|105.0|3.0|0.0|0.0|8.0|22.0|Breads, cereals, fastfood,grains
233|Flour|110.0|460.0|39.0|22.0|0.0|2.9|33.0|Breads, cereals, fastfood,grains
234|Wheat (all purpose)|110.0|400.0|12.0|1.0|0.0|0.3|84.0|Breads, cereals, fastfood,grains
235|Wheat (whole)|120.0|390.0|13.0|2.0|0.0|2.8|79.0|Breads, cereals, fastfood,grains
236|Macaroni|140.0|155.0|5.0|1.0|0.0|0.1|32.0|Breads, cereals, fastfood,grains
237|Baked with cheese|220.0|475.0|18.0|25.0|24.0|0.0|44.0|Breads, cereals, fastfood,grains
238|Muffins|48.0|135.0|4.0|5.0|4.0|0.0|19.0|Breads, cereals, fastfood,grains
239|Noodles|160.0|200.0|7.0|2.0|2.0|0.1|37.0|Breads, cereals, fastfood,grains
240|Oatmeal|236.0|150.0|5.0|3.0|2.0|4.6|26.0|Breads, cereals, fastfood,grains
241|"Pancakes 4"" diam."|108.0|250.0|7.0|9.0|0.0|0.1|28.0|Breads, cereals, fastfood,grains
242|"Wheat, pancakes 4"" diam."|108.0|250.0|7.0|9.0|0.0|0.1|28.0|Breads, cereals, fastfood,grains
243|"Pizza 14"" diam."|75.0|180.0|8.0|6.0|5.0|0.0|23.0|Breads, cereals, fastfood,grains
244|Popcorn salted|28.0|152.0|3.0|7.0|2.0|0.5|20.0|Breads, cereals, fastfood,grains
245|Puffed rice|14.0|55.0|0.0|0.0|0.0|0.0|12.0|Breads, cereals, fastfood,grains
246|Puffed wheat presweetened|28.0|105.0|1.0|0.0|0.0|0.6|26.0|Breads, cereals, fastfood,grains
247|Rice|208.0|748.0|15.0|3.0|0.0|1.2|154.0|Breads, cereals, fastfood,grains
248|Converted|187.0|677.0|14.0|0.0|0.0|0.4|142.0|Breads, cereals, fastfood,grains
249|White|191.0|692.0|14.0|0.0|0.0|0.3|150.0|Breads, cereals, fastfood,grains
250|Rice flakes|30.0|115.0|2.0|0.0|0.0|0.1|26.0|Breads, cereals, fastfood,grains
251|Rice polish|50.0|132.0|6.0|6.0|0.0|1.2|28.0|Breads, cereals, fastfood,grains
252|Rolls|50.0|411.0|3.0|12.0|11.0|0.1|23.0|Breads, cereals, fastfood,grains
253|of refined flour|38.0|115.0|3.0|2.0|2.0|0.0|20.0|Breads, cereals, fastfood,grains
254|whole-wheat|40.0|102.0|4.0|1.0|0.0|0.1|20.0|Breads, cereals, fastfood,grains
255|Spaghetti with meat sauce|250.0|285.0|13.0|10.0|6.0|0.5|35.0|Breads, cereals, fastfood,grains
256|with tomatoes and cheese|250.0|210.0|6.0|5.0|3.0|0.5|36.0|Breads, cereals, fastfood,grains
257|Spanish rice|250.0|217.0|4.0|4.0|0.0|1.2|40.0|Breads, cereals, fastfood,grains
258|Shredded wheat biscuit|28.0|100.0|3.0|1.0|0.0|0.7|23.0|Breads, cereals, fastfood,grains
259|Waffles|75.0|240.0|8.0|9.0|1.0|0.1|30.0|Breads, cereals, fastfood,grains
260|Wheat germ|68.0|245.0|17.0|7.0|3.0|2.5|34.0|Breads, cereals, fastfood,grains
261|Wheat-germ cereal toasted|65.0|260.0|20.0|7.0|3.0|2.5|36.0|Breads, cereals, fastfood,grains
