|Food|Grams|Calories|Protein|Fat|Sat.Fat|Fiber|Carbs|Category
106|Raw, grated|110.0|45.0|1.0|0.0|0.0|1.2|10.0|Vegetables A-E
107|Strips, from raw|50.0|20.0|0.0|0.0|0.0|0.5|5.0|Vegetables A-E
108|Cauliflower|120.0|30.0|3.0|0.0|0.0|1.0|6.0|Vegetables A-E
109|Celery|100.0|20.0|1.0|0.0|0.0|1.0|4.0|Vegetables A-E
110|Stalk raw|40.0|5.0|1.0|0.0|0.0|0.3|1.0|Vegetables A-E
111|Chard steamed|150.0|30.0|2.0|0.0|0.0|1.4|7.0|Vegetables A-E
112|Collards|150.0|51.0|5.0|0.0|0.0|2.0|8.0|Vegetables A-E
113|Corn|100.0|92.0|3.0|1.0|0.0|0.8|21.0|Vegetables A-E
114|cooked or canned|200.0|170.0|5.0|0.0|0.0|1.6|41.0|Vegetables A-E
115|Cucumbers|50.0|6.0|0.0|0.0|0.0|0.2|1.0|Vegetables A-E
116|Dandelion greens|180.0|80.0|5.0|1.0|0.0|3.2|16.0|Vegetables A-E
117|Eggplant|180.0|30.0|2.0|0.0|0.0|1.0|9.0|Vegetables A-E
118|Endive|57.0|10.0|1.0|0.0|0.0|0.6|2.0|Vegetables A-E
119|Kale|110.0|45.0|4.0|1.0|0.0|0.9|8.0|Vegetables F-P
120|Kohlrabi|140.0|40.0|2.0|0.0|0.0|1.5|9.0|Vegetables F-P
121|Lambs quarters, steamed|150.0|48.0|5.0|0.0|0.0|3.2|7.0|Vegetables F-P
122|Lentils|200.0|212.0|15.0|0.0|0.0|2.4|38.0|Vegetables F-P
123|Lettuce|100.0|14.0|1.0|0.0|0.0|0.5|2.0|Vegetables F-P
124|Iceberg|100.0|13.0|0.0|0.0|0.0|0.5|3.0|Vegetables F-P
125|Mushrooms canned|120.0|12.0|2.0|0.0|0.0|0.0|4.0|Vegetables F-P
126|Mustard greens|140.0|30.0|3.0|0.0|0.0|1.2|6.0|Vegetables F-P
127|Okra|100.0|32.0|1.0|0.0|0.0|1.0|7.0|Vegetables F-P
128|Onions|210.0|80.0|2.0|0.0|0.0|1.6|18.0|Vegetables F-P
129|Raw, green|50.0|22.0|0.0|0.0|0.0|1.0|5.0|Vegetables F-P
130|Parsley|50.0|2.0|0.0|0.0|0.0|0.0|0.0|Vegetables F-P
131|Parsnips|155.0|95.0|2.0|1.0|0.0|3.0|22.0|Vegetables F-P
132|Peas|100.0|66.0|3.0|0.0|0.0|0.1|13.0|Vegetables F-P
133|Fresh, steamed peas|100.0|70.0|5.0|0.0|0.0|2.2|12.0|Vegetables R-Z
134|Frozen peas|100.0|36.4|5.0|0.0|0.0|1.8|12.0|Vegetables R-Z
135|Split cooked peas|100.0|115.0|8.0|0.0|0.0|0.4|21.0|Vegetables R-Z
136|heated peas|100.0|53.0|3.0|0.0|0.0|1.0|10.0|Vegetables R-Z
137|Peppers canned|38.0|10.0|0.0|0.0|0.0|0.0|2.0|Vegetables R-Z
138|Peppers Raw, green, sweet|100.0|25.0|1.0|0.0|0.0|1.4|6.0|Vegetables R-Z
139|Peppers with beef and crumbs|150.0|255.0|19.0|9.0|8.0|1.0|24.0|Vegetables R-Z
140|Potatoes, baked|100.0|100.0|2.0|0.0|0.0|0.5|22.0|Vegetables R-Z
141|French-fried|60.0|155.0|0.0|7.0|3.0|0.4|20.0|Vegetables R-Z
142|Potatoes Mashed with milk and butter|200.0|230.0|4.0|12.0|11.0|0.7|28.0|Vegetables R-Z
143|Potatoes, pan-tried|100.0|268.0|4.0|14.0|6.0|0.4|33.0|Vegetables R-Z
144|Scalloped with cheese potatoes|100.0|145.0|6.0|8.0|7.0|0.4|14.0|Vegetables R-Z
145|Steamed potatoes before peeling|100.0|80.0|2.0|0.0|0.0|0.4|19.0|Vegetables R-Z
146|Potato chips|20.0|110.0|1.0|7.0|4.0|0.0|10.0|Vegetables R-Z
147|Radishes|50.0|10.0|0.0|0.0|0.0|0.3|2.0|Vegetables R-Z
148|Rutabagas|100.0|32.0|0.0|0.0|0.0|1.4|8.0|Vegetables R-Z
149|Soybeans|200.0|260.0|22.0|11.0|0.0|3.2|20.0|Vegetables R-Z
150|Spinach|100.0|26.0|3.0|0.0|0.0|1.0|3.0|Vegetables R-Z
151|Squash|210.0|35.0|1.0|0.0|0.0|0.6|8.0|Vegetables R-Z
152|Winter, mashed|200.0|95.0|4.0|0.0|0.0|2.6|23.0|Vegetables R-Z
153|Sweet potatoes|110.0|155.0|2.0|1.0|0.0|1.0|36.0|Vegetables R-Z
